,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
107,1510599089519529992,JonoH,1648989863000.0,2022-04-03 20:44:23,@AndrewD21215460 @EmiratiPatriot Audi Q5 S S Line. It’s not sweating. 2.2K RPM,en,[],[],https://twitter.com/JonoH/status/1510599089519529992,[],[],0,,1,1,0
108,1510588102817062914,gt4series,1648987243000.0,2022-04-03 20:00:43,"Trouble for our Am leading Audi, as Blanchemain is elbowed wide and losses his class lead to the #89 AGS Events Aston  Watch live 📺  https://t.co/lq6c3hjXIU #GT4Europe  https://t.co/gjTQp2ExDJ",en,['gt4europe'],[],https://twitter.com/gt4series/status/1510588102817062914,['http://gt4europeanseries.com/live'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1510588023653773314/pu/img/tSIw9YN1ZYnCubnz.jpg,4,0,0
111,1510571830859362304,AutoNewsEurope,1648983364000.0,2022-04-03 18:56:04,"Audi raises offer for stake in McLaren's F1 unit, report says  https://t.co/vZO7JBoE12  https://t.co/tYxRdEPnNj",en,[],[],https://twitter.com/AutoNewsEurope/status/1510571830859362304,['http://dlvr.it/SMt6Qm'],['https://pbs.twimg.com/media/FPahEzOVEAgY2QG.jpg'],1,https://pbs.twimg.com/media/FPahEzOVEAgY2QG.jpg,2,1,1
112,1510565760585850882,business,1648981916000.0,2022-04-03 18:31:56,"Volkswagen's Audi brand raised its offer to gain a foothold in sports car brand McLaren to 650 million euros from 450 million euros, according to a report  https://t.co/Z5i963y9Xj",en,[],[],https://twitter.com/business/status/1510565760585850882,['https://trib.al/Rx60OSO'],[],0,,70,9,16
113,1510563055465377792,whatcar,1648981271000.0,2022-04-03 18:21:11,Two titans collide in our brand new hot hatch twin test – which would you choose?  🔥Audi RS3 🔥Mercedes-AMG A45 S   https://t.co/Em0fKr7XZK  https://t.co/8tJfwCWKq7,en,[],[],https://twitter.com/whatcar/status/1510563055465377792,['https://bddy.me/35Cw210'],"['https://pbs.twimg.com/media/FPaZEceXwAAbl2S.jpg', 'https://pbs.twimg.com/media/FPaZE5dXwAIc3jY.jpg', 'https://pbs.twimg.com/media/FPaZFVmX0AI0LM5.jpg', 'https://pbs.twimg.com/media/FPaZF1tWYAIPPYw.jpg']",1,https://pbs.twimg.com/media/FPaZEceXwAAbl2S.jpg,4,0,1
115,1510547906595627013,CarbuyerUK,1648977660000.0,2022-04-03 17:21:00,The next Audi TT will be an electric four-door coupe… 🤯  Are you happy with this change? Let us know in the comments!  Full story:  https://t.co/L4Juv2aKxm  https://t.co/fQNJEqgrLU,en,[],[],https://twitter.com/CarbuyerUK/status/1510547906595627013,['https://carbyr.uk/3ITzRMP'],"['https://pbs.twimg.com/media/FPLSQiRXMAEgwQs.jpg', 'https://pbs.twimg.com/media/FPLSQiCXsAYVP1h.jpg']",1,https://pbs.twimg.com/media/FPLSQiRXMAEgwQs.jpg,52,6,4
118,1510539486198906882,IainDale,1648975652000.0,2022-04-03 16:47:32,@PoveyChris Strangely you don't get Audi dealerships on motorways. Who'd have thought?,en,[],[],https://twitter.com/IainDale/status/1510539486198906882,[],[],0,,15,2,0
120,1510527640473640965,AutoTraderSA,1648972828000.0,2022-04-03 16:00:28,Should you opt for the frugal #diesel model or is the potent #petrol variant the one to blow your hair back? We pick our favourite @audisouthafrica👌 https://t.co/3imT0ycye8 #Audi #AudiQ5 #AudiSQ5 #Review #CarReview,en,"['diesel', 'petrol', 'audi', 'audiq5', 'audisq5', 'review', 'carreview']",[],https://twitter.com/AutoTraderSA/status/1510527640473640965,['https://bit.ly/AudiQ5vsAudiSQ5Review2022'],[],0,,0,0,0
126,1510487526137483265,AudiIN,1648963264000.0,2022-04-03 13:21:04,"@mahesh77909 Hi Raj, the launch schedules of our models vary. We suggest that you take a regular look at the Audi India website for updates.",en,[],[],https://twitter.com/AudiIN/status/1510487526137483265,[],[],0,,1,1,1
127,1510475638750302211,latinprince,1648960430000.0,2022-04-03 12:33:50,@Audi #Q8 life  https://t.co/M5qZZQTDLW,en,['q8'],[],https://twitter.com/latinprince/status/1510475638750302211,[],['https://pbs.twimg.com/media/FPZJlVIXIAIO5Ey.jpg'],1,https://pbs.twimg.com/media/FPZJlVIXIAIO5Ey.jpg,47,1,3
