,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
111,1509105380063952896,JCT600,1648633735000.0,2022-03-30 17:48:55,Thank you to all who came to our 'an evening with Maserati' event last night at JCT600 Maserati Bradford.  It was a great night where guests spoke to our friendly experts about our Maserati stock whilst enjoying canapes and live music.  #JCT600 #Maserati #MaseratiBradford  https://t.co/azNHcDKPtQ,en,"['jct600', 'maserati', 'maseratibradford']",[],https://twitter.com/JCT600/status/1509105380063952896,[],"['https://pbs.twimg.com/media/FPFrLaaWUAIMhyO.jpg', 'https://pbs.twimg.com/media/FPFrLabXEAIXYEQ.jpg', 'https://pbs.twimg.com/media/FPFrLaaX0AEbvbG.jpg', 'https://pbs.twimg.com/media/FPFrNEoXMAMGuIO.jpg']",1,https://pbs.twimg.com/media/FPFrLaaWUAIMhyO.jpg,4,0,0
113,1508941598998114304,luxury,1648594686000.0,2022-03-30 06:58:06,Maserati announces it will offer electric versions of all its cars by 2025  https://t.co/QeM6JHtbO4,en,[],[],https://twitter.com/luxury/status/1508941598998114304,['https://trib.al/Tg6BYl4'],[],0,,13,0,4
115,1508906799298232328,freedlander,1648586389000.0,2022-03-30 04:39:49,Instead of protesting Manchin when he gets into his Maserati did anyone think of simply offering him the opportunity to get in on the ground floor of solar panels factory?,en,[],[],https://twitter.com/freedlander/status/1508906799298232328,[],[],0,,15,3,0
117,1508897121881182217,Daily_Record,1648584082000.0,2022-03-30 04:01:22,Katie was filming alongside the owner of a bespoke pink Ferrari and Maserati when she broke the news   https://t.co/CfJ66I7Kq8,en,[],[],https://twitter.com/Daily_Record/status/1508897121881182217,['https://www.dailyrecord.co.uk/entertainment/celebrity/katie-price-commissions-new-designer-26587800'],[],0,,0,1,0
121,1508853520606371840,MeganKelleyHall,1648573687000.0,2022-03-30 01:08:07,"@harmlou @Amy_Siskind @Loup407 @NewYorkStateAG If he starts driving a Maserati like our favorite “Democrat” Senator Manchin, you’ll start to understand.",en,[],[],https://twitter.com/MeganKelleyHall/status/1508853520606371840,[],[],0,,41,0,3
124,1508788771596120073,Maserati_HQ,1648558249000.0,2022-03-29 20:50:49,"530 hp.  0-100 km/h in 3.8 seconds. Some number crunching, courtesy the V6 Nettuno engine. Only the best for the Grecale Trofeo. #MaseratiGrecale #MaseratiGrecaleTrofeo #EverydayExceptional  https://t.co/ctIY0yYyIN",en,"['maseratigrecale', 'maseratigrecaletrofeo', 'everydayexceptional']",[],https://twitter.com/Maserati_HQ/status/1508788771596120073,[],['https://pbs.twimg.com/media/FPBLY4iVsAUVstB.jpg'],1,https://pbs.twimg.com/media/FPBLY4iVsAUVstB.jpg,526,14,54
125,1508787289765421059,roadshow,1648557896000.0,2022-03-29 20:44:56,Maserati's New Grecale SUV Is Ready to Take On the Porsche Macan  https://t.co/zB91xx8XKH,en,[],[],https://twitter.com/roadshow/status/1508787289765421059,['https://trib.al/7WE6IJA'],[],0,,3,0,1
127,1508785099894050817,ggreenwald,1648557374000.0,2022-03-29 20:36:14,@tastybits No worries: just bought a new Maserati with the ruble's resurgence.,en,[],[],https://twitter.com/ggreenwald/status/1508785099894050817,[],[],0,,296,11,5
128,1508777525111144448,TheGunzShow,1648555568000.0,2022-03-29 20:06:08,@eGO_Maserati I can’t believe he thought it was real to begin with!,en,[],[],https://twitter.com/TheGunzShow/status/1508777525111144448,[],[],0,,1,1,0
129,1508772843017940995,_hannahvbryan,1648554452000.0,2022-03-29 19:47:32,Yeah and I want a Maserati but it’s not going to happen is it,en,[],[],https://twitter.com/_hannahvbryan/status/1508772843017940995,[],[],0,,1,1,0
130,1508758979178074117,tomwookieford,1648551146000.0,2022-03-29 18:52:26,"Maserati Grecale today. This is the full-fat 530bhp Trofeo (I got it in the good colour). Porsche Macan competition, they’re all AWD, and look better from some angles than others. There are 300 and 330bhp 4cyls too. What do we think?  https://t.co/Y25tYY7X1U",en,[],[],https://twitter.com/tomwookieford/status/1508758979178074117,[],"['https://pbs.twimg.com/media/FPAwQ60XIAEIvUD.jpg', 'https://pbs.twimg.com/media/FPAwQ2CXIAMfJqb.jpg', 'https://pbs.twimg.com/media/FPAwQ2EX0AAPpSG.jpg', 'https://pbs.twimg.com/media/FPAwQ2CWYAA-pxe.jpg']",1,https://pbs.twimg.com/media/FPAwQ60XIAEIvUD.jpg,209,82,10
132,1508734474363748352,Ya_a_seen_Him,1648545304000.0,2022-03-29 17:15:04,Why couldn't Batman's home made car that had a jet engine and a whole bunch of modifications not catch a Maserati?? Is he then just a shitty mechanic?,en,[],[],https://twitter.com/Ya_a_seen_Him/status/1508734474363748352,[],[],0,,3,0,0
135,1508652500919853056,Canning4Oregon,1648525760000.0,2022-03-29 11:49:20,"911, I’d like to report a looting…he’s driving a Maserati.",en,[],[],https://twitter.com/Canning4Oregon/status/1508652500919853056,[],[],0,,13,0,2
136,1508624513453502469,luxury,1648519087000.0,2022-03-29 09:58:07,Maserati announces it will offer electric versions of all its cars by 2025  https://t.co/1QgvjNxrxf,en,[],[],https://twitter.com/luxury/status/1508624513453502469,['https://trib.al/UWRzk8g'],[],0,,4,0,1
143,1508551939407106051,GulfTimes_QATAR,1648501784000.0,2022-03-29 05:09:44,"Following its official launch in Qatar, Alfardan Sports Motors, the official importer of Maserati in Qatar, has announced the delivery of the first Maserati MC20 units to its customers.   https://t.co/SNV2zzAy0l",en,[],[],https://twitter.com/GulfTimes_QATAR/status/1508551939407106051,['https://www.gulf-times.com/story/713523'],[],0,,3,0,0
146,1508522332960219143,luxury,1648494725000.0,2022-03-29 03:12:05,The new Maserati Grecale SUV adds fresh competition to the Porsche Macan and Mercedes GLE  https://t.co/VWiNyEVDcw,en,[],[],https://twitter.com/luxury/status/1508522332960219143,['https://trib.al/xBbuZ9b'],[],0,,2,0,0
