,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
263,1509992899802505217,MClevenger_CJ,1648845336000.0,2022-04-02 04:35:36,@ericseals @GoPro @freep I don't think that Porsche GT3 left you any room in Turn 7.  I'll just ring up Michael Masi and have a quick word,en,[],[],https://twitter.com/MClevenger_CJ/status/1509992899802505217,[],[],0,,1,1,0
267,1509983684518100996,karaswisher,1648843139000.0,2022-04-02 03:58:59,"As if I would drive a Porsche. I have a Kia with 7 seats. As soon as I stop having kids, I will be rid of car ownership.",en,[],[],https://twitter.com/karaswisher/status/1509983684518100996,[],[],0,,99,11,1
268,1509983472361750534,tiff_tv,1648843088000.0,2022-04-02 03:58:08,So it must be 40 years since Porsche built that orange segment building and a few of us blasted potential buyers round the bowl for a whole month!£,en,[],[],https://twitter.com/tiff_tv/status/1509983472361750534,[],[],0,,28,1,2
269,1509981234973351937,TedFriendlyGuy,1648842555000.0,2022-04-02 03:49:15,"""Ottawa is in Ontario"" just makes me think of the time I tweeted about the municipal tax break for a Porsche dealership on Montreal Road and a nameless right-wing reactionary account complained that Justin Trudeau and Gerald Butts were building an auto dealership in Quebec.",en,[],[],https://twitter.com/TedFriendlyGuy/status/1509981234973351937,[],[],0,,25,2,1
270,1509976961845764096,JoeyWahler,1648841536000.0,2022-04-02 03:32:16,Imagine how much it is for Somers to fill up his Porsche.,en,[],[],https://twitter.com/JoeyWahler/status/1509976961845764096,[],[],0,,2,0,0
271,1509973622537871364,evomagazine,1648840740000.0,2022-04-02 03:19:00,Is the updated 2022 Alpine A110 a better sports car than the Porsche Cayman?  https://t.co/rqyoA0Vswx  https://t.co/684qd0ECmJ,en,[],[],https://twitter.com/evomagazine/status/1509973622537871364,['https://evo.co.uk/alpine/a110-coupe/21827/alpine-a110-review-lighter-in-body-and-soul-than-a-porsche-cayman'],['https://pbs.twimg.com/media/FPQEmODX0AQRs-o.jpg'],1,https://pbs.twimg.com/media/FPQEmODX0AQRs-o.jpg,123,11,7
277,1509968088212680709,boatint,1648839420000.0,2022-04-02 02:57:00,"With its soft leather interior and convertible top, the boat was inspired by the Porsche 356  https://t.co/MXPvMjdk1r",en,[],[],https://twitter.com/boatint/status/1509968088212680709,['https://www.boatinternational.com/yachts/editorial-features/wildwater-hermes-speedster-boat-by-seven-seas'],[],0,,5,0,2
278,1509967848906670085,standardsport,1648839363000.0,2022-04-02 02:56:03,West Ham’s Lanzini admits driving Porsche without licence or insurance.   https://t.co/wz5cYNKnls,en,[],[],https://twitter.com/standardsport/status/1509967848906670085,['https://bit.ly/3u1aTXq'],[],0,,2,2,0
283,1509957640180350977,CARandDRIVER,1648836929000.0,2022-04-02 02:15:29,Our 2022 @Porsche Cayman GTS 4.0 starts its stress test:  https://t.co/IbEsL24IuC #SaveTheManuals  https://t.co/eiAeRHajiS,en,['savethemanuals'],[],https://twitter.com/CARandDRIVER/status/1509957640180350977,['http://crdrv.co/xbFyqFp'],"['https://pbs.twimg.com/media/FPRydI9X0AYtckM.jpg', 'https://pbs.twimg.com/media/FPRydcHXIAQFTYK.jpg', 'https://pbs.twimg.com/media/FPRydx3XwAk40d2.jpg', 'https://pbs.twimg.com/media/FPRyeG2XwAEJ6u7.jpg']",1,https://pbs.twimg.com/media/FPRydI9X0AYtckM.jpg,133,1,9
287,1509949943095562241,LouisColumbus,1648835094000.0,2022-04-02 01:44:54,"@DocKevinElder @MoranMP_DRESNER Used to work at a global distributor whose CFO had a bumper sticker on his Porsche that said ""I ❤️ Excel"".  I told him I speak Excel when I first met him and he laughed. We got along great, especially on all matters #BI and #datawarehouse #BIWisdom",en,"['bi', 'datawarehouse', 'biwisdom']",[],https://twitter.com/LouisColumbus/status/1509949943095562241,[],[],0,,2,1,0
