,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
12,1.51E+18,ChannelNewsAsia,Singapore,1.64935E+12,2022-04-08T00:54:03Z,"Volkswagen, Porsche and Audi open to entering Formula One - spokesperson  https://t.co/qCaxKYZS0e  https://t.co/BpndqzcSwk",en,[],[],https://twitter.com/ChannelNewsAsia/status/1512111473333395470,['https://www.channelnewsasia.com/sport/volkswagen-porsche-and-audi-open-entering-formula-one-spokesperson-2614896?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FPwZX0MUYAgixqE.jpg'],1,2,1,1
13,1.51E+18,USMNT,USA,1.64934E+12,2022-04-07T22:30:01Z,Step one of the journey is complete.  A new challenge awaits in Qatar. 🇺🇸  #BehindTheCrest x @VW  https://t.co/GPoO943l7u,en,['behindthecrest'],[],https://twitter.com/USMNT/status/1512075224702889988,[],[],1,975,12,80
14,1.51E+18,VfLWolfsburg_EN,Germany,1.64934E+12,2022-04-07T22:28:27Z,🔥 @ChattanoogaFC will have Volkswagen as Premier Kit Sponsor for 2022 🔥,en,[],[],https://twitter.com/VfLWolfsburg_EN/status/1512074833315520516,[],[],0,46,0,5
15,1.51E+18,alanbeattie,France,1.64934E+12,2022-04-07T21:57:53Z,"@COdendahl @JeremyCliffe Agreed. I’d also note the irony of Volkswagen, with all its history, producing cars in a Chinese province which has more than a million people in concentration camps with its CEO previously having literally denied their existence.",en,[],[],https://twitter.com/alanbeattie/status/1512067138608979973,[],[],0,12,1,2
16,1.51E+18,EU_Competition,France,1.64933E+12,2022-04-07T19:44:17Z,#EUMergerControl Commission 🇪🇺 clears creation of a joint venture by subsidiaries of Lufthansa and Volkswagen ⬇️  https://t.co/IzYjpkOokH  https://t.co/xtxs6FSksu,en,['eumergercontrol'],[],https://twitter.com/EU_Competition/status/1512033519316439045,['https://ec.europa.eu/commission/presscorner/detail/en/mex_22_2361'],['https://pbs.twimg.com/media/FPvSaJ6XIAYRHhz.jpg'],1,0,0,2
17,1.51E+18,UKVolkswagen,UK,1.64932E+12,2022-04-07T17:18:28Z,@thepetedrew Hi Pete. We're sorry to hear this. Kindly reach out to our colleagues at Volkswagen Commercial Vehicles @Volkswagen_CV and they'll advise you further on this.,en,[],[],https://twitter.com/UKVolkswagen/status/1511996819647180802,[],[],0,0,1,0
18,1.51E+18,volkswagen,Germany,1.64932E+12,2022-04-07T17:00:01Z,"Carsharing is booming, especially in big cities. One of the major providers in Germany is @WeShare_DE, with all-electric models or our Volkswagen ID. family.   We share tips on getting the most out of carsharing 🚗.  Click below. 👇",en,[],[],https://twitter.com/volkswagen/status/1511992179178283011,[],[],0,200,13,14
19,1.51E+18,volkswagen,Germany,1.64927E+12,2022-04-07T02:49:44Z,".@BBC_TopGear Electric Awards 2022: Our #VWIDBuzz has been named Electric Car of the Year!  ""Bold, brave, beautiful – and a beacon of joy – that’s but a few of the charming attributes the jury had in store for the Volkswagen ID. Buzz”, says our CEO Ralf Brandstätter on @LinkedIn.",en,['vwidbuzz'],[],https://twitter.com/volkswagen/status/1511778199407144960,[],[],0,80,6,12
20,1.51E+18,BBC_TopGear,UK,1.64927E+12,2022-04-07T02:00:09Z,TG's electric car of the year: the Volkswagen ID Buzz. There's a real *cough* buzz around VW's EV comeback kid. Here's why it's our overall winner →  https://t.co/Ys3ePZJnVz  https://t.co/j5nw05j63u,en,[],[],https://twitter.com/BBC_TopGear/status/1511765718076952576,['https://www.topgear.com/car-news/electric-awards-2022/tgs-electric-car-year-volkswagen-id-buzz'],['https://pbs.twimg.com/media/FPre50OXIAcD7SV.jpg'],1,49,1,5
21,1.51E+18,CityAM,UK,1.64926E+12,2022-04-07T00:34:07Z,Volkswagen reduces model range as part of electric drive  https://t.co/0S0GgsgUw7  https://t.co/E6PCGGElqT,en,[],[],https://twitter.com/CityAM/status/1511744070732812293,['http://dlvr.it/SN56hD'],['https://pbs.twimg.com/media/FPrLOJRVEAY5y86.jpg'],1,1,0,1
22,1.51E+18,ChinaDaily,China,1.64924E+12,2022-04-06T19:00:44Z,"For the first time, the world's second largest carmaker Volkswagen Group is to involve Chinese technology companies in its global sourcing.   https://t.co/MgrChpK3ia",en,[],[],https://twitter.com/ChinaDaily/status/1511660169003819011,['http://www.chinadaily.com.cn/a/202204/06/WS624d2b99a310fd2b29e554f7.html'],[],0,12,1,4
23,1.51E+18,UKVolkswagen,UK,1.64923E+12,2022-04-06T16:43:36Z,@Admanr Hi Adam. We're sorry to hear this. We'll suggest you speak with our colleagues at Volkswagen Commercial Vehicles @Volkswagen_CV and they'll look into this for you.,en,[],[],https://twitter.com/UKVolkswagen/status/1511625659101200386,[],[],0,0,0,0
24,1.51E+18,VWGroup,Germany,1.64923E+12,2022-04-06T15:46:51Z,"Congrats @AudiOfficial, @PorscheNewsroom, @skodaautonews &amp; @volkswagen! 🥳",en,[],[],https://twitter.com/VWGroup/status/1511611378251046912,[],[],0,11,5,0
