,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
4475,1.49E+18,CNBCi, ,1.64442E+12,2022-02-10T00:42:39Z,"Arnold Schwarzenegger, Salma Hayek star as retired Greek gods in BMW iX EV Super Bowl ad  https://t.co/4TXudiPKAF",en,[],[],https://twitter.com/CNBCi/status/1491452497340379152,['https://cnb.cx/3uzG4di'],[],0,1,0,0
4476,1.49E+18,CNBC, ,1.64442E+12,2022-02-10T00:42:39Z,"Arnold Schwarzenegger, Salma Hayek star as retired Greek gods in BMW iX EV Super Bowl ad  https://t.co/6CEeCnMSYm",en,[],[],https://twitter.com/CNBC/status/1491452496006500358,['https://cnb.cx/3stcR0V'],[],0,23,4,4
4477,1.49E+18,seth_leitman, ,1.64442E+12,2022-02-10T00:32:54Z,"BMW to Debut the All-New, Fully Electric BMW iX Sports Activity Vehicle  https://t.co/azvdzc0YpW",en,[],[],https://twitter.com/seth_leitman/status/1491450043525705729,['https://greenlivingguy.com/2022/02/bmw-to-debut-the-all-new-fully-electric-bmw-ix-sports-activity-vehicle/'],[],0,471,15,44
4478,1.49E+18,JunkScience, ,1.64442E+12,2022-02-10T00:14:28Z,"Though he will be advertising a BMW EV in a Super Bowl ad, #ClimateHypocrite @Schwarzenegger just drove his giant gas-powered GMC Yukon over a Prius a couple weeks ago.    https://t.co/pnIwRxztzS via @business",en,['climatehypocrite'],[],https://twitter.com/JunkScience/status/1491445403673559041,['https://www.bloomberg.com/news/articles/2022-02-09/schwarzenegger-plays-electrified-zeus-in-bmw-s-new-ev-ads'],[],0,15,2,10
4479,1.49E+18,terryoinfluence, ,1.64442E+12,2022-02-10T00:14:01Z,Sneak peek at BMW’s Super Bowl commercial.  Zeus retires to Palm Springs:   https://t.co/kmDGPdpifp,en,[],[],https://twitter.com/terryoinfluence/status/1491445289898676232,['https://www.youtube.com/watch?v=nUC1QA5gRcU'],[],0,18,1,4
4480,1.49E+18,RichNye13, ,1.64442E+12,2022-02-10T00:07:56Z,"Crash investigator believes Brown's BMW flipped 1 1/2 times in crash before coming to rest upside down. Two airbags deployed, head and shoulder driver area.",en,[],[],https://twitter.com/RichNye13/status/1491443760097800194,[],[],0,0,0,1
4481,1.49E+18,MyDesert, ,1.64442E+12,2022-02-10T00:00:05Z,"The plot follows Zeus, who is unhappy with his retirement to Palm Springs until he is gifted an electric BMW iX to joy ride around Palm Springs in.          https://t.co/seTtEd61CE",en,[],[],https://twitter.com/MyDesert/status/1491441782416158722,['http://rssfeeds.mydesert.com/~/681520000/0/palmsprings/home~Arnold-Schwarzenegger-plays-Zeus-in-new-BMW-Super-Bowl-ad-set-in-Palm-Springs/?utm_campaign=snd-autopilot'],[],0,1,0,0
4482,1.49E+18,MotorTrend, ,1.64442E+12,2022-02-09T23:50:08Z,"@ALPINAGB tried valiantly to fix the heavy, floaty @BMW X7 SUV’s woes. They got halfway there.  https://t.co/Ev9Z9YLrYw",en,[],[],https://twitter.com/MotorTrend/status/1491439278680850434,['https://bit.ly/3oBPaCu'],[],0,0,0,0
4483,1.49E+18,evomagazine, ,1.64442E+12,2022-02-09T23:43:00Z,The next-generation Range Rover Sport SVR will come equipped with BMW's twin-turbocharged  4.4-litre V8. Here’s our first look at its design -  https://t.co/DMWFOY66Fr  https://t.co/DjNwcpCMHl,en,[],[],https://twitter.com/evomagazine/status/1491437483258638336,['https://www.evo.co.uk/land-rover/sport-svr/204565/new-2022-range-rover-sport-spied-land-rovers-bmw-x5-rival-due-later'],['https://pbs.twimg.com/media/FLJXvg0XoAQfv_k.jpg'],1,29,2,4
4484,1.49E+18,Senators, ,1.64442E+12,2022-02-09T23:38:00Z,Brady Tkachuk had two goals in last night's win against the Hurricanes and also nabbed @Ottos_BMW Performer of the Game honours!  #GoSensGo  https://t.co/tEsROY1dSm,en,['gosensgo'],[],https://twitter.com/Senators/status/1491436225076604928,[],['https://pbs.twimg.com/media/FLINDjcX0AEk70Q.jpg'],1,165,6,11
4485,1.49E+18,RichNye13, ,1.64442E+12,2022-02-09T23:24:07Z,"IMPD crash investigator Douglas Heustis testified that Jason Brown's BMW was traveling at least 65 MPH when he left Madison Avenue and crashed, flipping into a yard and through a fence. @WTHRcom",en,[],[],https://twitter.com/RichNye13/status/1491432733092229122,[],[],0,3,1,1
4486,1.49E+18,MyDesert, ,1.64442E+12,2022-02-09T23:00:11Z,"Things start to look up for Schwarzenegger's character in the commercial when his wife, played by Salma Hayek, gifts him an electric BMW iX.  https://t.co/5T79Jqwjpz",en,[],[],https://twitter.com/MyDesert/status/1491426709291339780,['https://www.desertsun.com/story/news/2022/02/08/zeus-god-sky-retires-palm-springs-new-super-bowl-ad/6714597001/'],[],0,1,0,0
4487,1.49E+18,Adweek, ,1.64442E+12,2022-02-09T22:39:49Z,#SuperBowl Update:   @Schwarzenegger and @salmahayek team up as Greek gods for @BMW's legendary ad.    https://t.co/3AStUMIWNA,en,['superbowl'],[],https://twitter.com/Adweek/status/1491421582149185539,['https://www.adweek.com/brand-marketing/schwarzenegger-hayek-bmw-super-bowl-ad/'],[],0,6,0,6
4488,1.49E+18,BMWUSA, ,1.64442E+12,2022-02-09T22:37:30Z,@Vegas2LAMag @AlanSemsar @BMWi @BMW BMW does not condone discrimination of any kind.  Can you please DM additional details about your experience?,en,[],[],https://twitter.com/BMWUSA/status/1491421000550031361,[],[],0,0,0,0
