,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
17,1.51e+18,thegoogle93,India,1650000000000.0,2022-09-04T22:36:00Z,"High-speed BMW car crushes woman riding Scooty, captures horrific accident on CCTV, watch video BMW car hits Scooty woman, watch viral video  https://t.co/rsb12ktoP7",en,[],[],https://twitter.com/thegoogle93/status/1512801623831158784,['https://thegooglenews.in/2022/04/09/high-speed-bmw-car-crushes-woman-riding-scooty-captures-horrific-accident-on-cctv-watch-video-bmw-car-hits-scooty-woman-watch-viral-video/'],[],0, ,0,0,0
18,1.51e+18,tombrossman,France,1650000000000.0,2022-09-04T22:23:00Z,"I have no clue what this confused BMW driver is doing and neither do they. Poor @LibertyBusje driver stuck waiting. I manage to make my way past. Drivers, keep left for faster traffic such as cyclists please!  https://t.co/3N4HTD82fd",en,[],[],https://twitter.com/tombrossman/status/1512798348348203013,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1512795639788322821/pu/img/odQX4uf_8mfrWWpi.jpg,0,2,0
19,1.51e+18,HindustanTimes,India,1650000000000.0,2022-09-04T22:19:00Z,"Caught on CCTV camera: BMW car in Mangaluru jumps divider, rams into scooty  https://t.co/fZ6c3CcLJk",en,[],[],https://twitter.com/HindustanTimes/status/1512797423701311492,['https://www.hindustantimes.com/cities/bengaluru-news/caught-on-cctv-camera-bmw-car-in-mangaluru-jumps-divider-rams-into-scooty-101649513492990.html'],[],0, ,2,0,0
20,1.51e+18,AlexWitzleben,France,1650000000000.0,2022-09-04T22:13:00Z,"Demand for electric vehicles rising but battery costs, policy inertia keep prices high as #lithium prices had risen in line with EV demand  https://t.co/Tlh7eSLSOL via @ABCaustralia #EUGreenDeal #ClimateActionNow #ElectricVehicles #ElectricCars #Evs #cars #VW #BMW #Volvo #Renault",en,"['lithium', 'eugreendeal', 'climateactionnow', 'electricvehicles', 'electriccars', 'evs', 'cars', 'vw', 'bmw', 'volvo', 'renault']",[],https://twitter.com/AlexWitzleben/status/1512795947981590529,['https://www.abc.net.au/news/2022-04-08/evs-in-demand-lithium-expensive-government-policy/100969628?utm_campaign=abc_news_web&utm_content=twitter&utm_medium=content_shared&utm_source=abc_news_web'],[],0, ,2,0,1
21,1.51e+18,RetroAdvertsUK,France,1650000000000.0,2022-09-04T22:09:00Z,"The latest addition to my #etsy shop: BMW Car Print 1988, Original Advertising Wall Art  https://t.co/tuGIR79cVA #men #gift #present #bmw #dad #print #father #eighties #m3  https://t.co/oSHEcGLovC",en,"['etsy', 'men', 'gift', 'present', 'bmw', 'dad', 'print', 'father', 'eighties', 'm3']",[],https://twitter.com/RetroAdvertsUK/status/1512794726138843149,['https://etsy.me/3v5UaBJ'],['https://pbs.twimg.com/media/FP6GyWoX0AElpBh.jpg'],1,https://pbs.twimg.com/media/FP6GyWoX0AElpBh.jpg,0,0,0
22,1.51e+18,swapalease,USA,1650000000000.0,2022-09-04T22:00:00Z,"2021 BMW X5 M50i | 23-month lease transfer in East Northport, NY. Details Here:  https://t.co/OLC7umX32S Contact the private seller today.  https://t.co/TnUl8QbYgE",en,[],[],https://twitter.com/swapalease/status/1512792552260390914,['https://bit.ly/3rP088z'],"['https://pbs.twimg.com/media/FP6EzwwXoAYS5vU.jpg', 'https://pbs.twimg.com/media/FP6EzwNX0AsEKCZ.jpg', 'https://pbs.twimg.com/media/FP6EzyFXIAQVSq8.jpg', 'https://pbs.twimg.com/media/FP6EzyKWYAAoKAn.jpg']",1,https://pbs.twimg.com/media/FP6EzwwXoAYS5vU.jpg,0,0,0
23,1.51e+18,Marshall_BMW,France,1650000000000.0,2022-09-04T21:48:00Z,"Marshall #BMW #Grimsby has some fantastic Approved Used models waiting to be snapped up!   Why not speak to one of our BMW experts on 01472 276666, visit us on Grimsby Road, Laceby or view our stock here &gt;  https://t.co/bjGA7vd8Gj  https://t.co/5POSebTQ3q",en,"['bmw', 'grimsby']",[],https://twitter.com/Marshall_BMW/status/1512789529459105792,['https://www.marshall.co.uk/bmw/used-cars/marshall-bmw-of-grimsby/'],"['https://pbs.twimg.com/media/FP6CDe9XwAI2K3k.jpg', 'https://pbs.twimg.com/media/FP6CDe-X0AIhlxI.jpg']",1,https://pbs.twimg.com/media/FP6CDe9XwAI2K3k.jpg,1,0,0
24,1.51e+18,emergingnobody,USA,1650000000000.0,2022-09-04T21:45:00Z,GM  Still available✨ The Ultimate Driving Nobody🚗🚗 @objktcom  2 #tezos    https://t.co/7w0INKA1nL  #tezos #CleanNFT #BMW #M3 #emergingnobody #tezosnft  https://t.co/hx3Rgzjd4G,en,"['tezos', 'tezos', 'cleannft', 'bmw', 'm3', 'emergingnobody', 'tezosnft']",[],https://twitter.com/emergingnobody/status/1512788671648382981,['https://objkt.com/asset/KT1SDnA9KDeoCgsLDyUYCWDJrp6cHQJXLSa1/14'],['https://pbs.twimg.com/media/FP5-MKTakAIiUal.jpg'],1,https://pbs.twimg.com/media/FP5-MKTakAIiUal.jpg,3,0,1
25,1.51e+18,Oneworldnews_,India,1650000000000.0,2022-09-04T21:40:00Z,"On Camera, Speeding BMW Jumps Divider, Rams Woman On Scooty In Mangaluru  #accident #RoadAccident #bmw  https://t.co/5nxj0eP2Fx",en,"['accident', 'roadaccident', 'bmw']",[],https://twitter.com/Oneworldnews_/status/1512787427236016128,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1512787335867695107/pu/img/860u5Gl88oLBbral.jpg,11,8,4
26,1.51e+18,Avenger1100,UK,1650000000000.0,2022-09-04T21:37:00Z,New EU directive will allow BMW drivers to use their indicators.,en,[],[],https://twitter.com/Avenger1100/status/1512786681853792257,[],[],0, ,2,0,0
