,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
309,1507500094689579008,SNYtv,1648251005000.0,2022-03-26 07:30:05,"On Baseball Night in New York, @AnthonyMcCarron gives us a scout's take on Francisco Álvarez, and how the scout says Álvarez should be considered ""untouchable""   https://t.co/7wvkht3K01  ▶ @Cadillac  https://t.co/0av2jRfAT9",en,[],[],https://twitter.com/SNYtv/status/1507500094689579008,['https://on.sny.tv/vIOKAi0'],[],1,https://pbs.twimg.com/amplify_video_thumb/1507499662546190336/img/o_tqqpl7te7_0CF7.jpg,32,1,5
310,1507462629295489024,959thefox,1648242072000.0,2022-03-26 05:01:12,Donate a new Stuffed Animal to our 95.9 THE FOX Cadillac of Greenwich Bears that Care Drive! We give the Bears and Stuffed animals to our Police Departments to use on calls with kids. Here is all the details:  https://t.co/l2Di1FaFNw  https://t.co/bBFwuqx1AZ,en,[],[],https://twitter.com/959thefox/status/1507462629295489024,['http://ow.ly/2iqR50I7012'],['https://pbs.twimg.com/media/FOuVRbJX0AYOdtN.jpg'],1,https://pbs.twimg.com/media/FOuVRbJX0AYOdtN.jpg,0,0,0
311,1507462366807871491,Fox40News,1648242010000.0,2022-03-26 05:00:10,Here’s when you can buy the Cadillac Lyriq  https://t.co/ol1aJJINoX,en,[],[],https://twitter.com/Fox40News/status/1507462366807871491,['https://fox40jackson.com/lifestyle/heres-when-you-can-buy-the-cadillac-lyriq/?utm_source=rss&utm_medium=rss&utm_campaign=heres-when-you-can-buy-the-cadillac-lyriq&utm_campaign=snd-autopilot'],[],0,,0,0,0
312,1507453836985655297,comma_ai,1648239976000.0,2022-03-26 04:26:16,comma openpilot has more users and miles than Cadillac Super Cruise and Ford BlueCruise. We are the #2 in users behind Tesla Autopilot of high end ADAS systems.,en,[],[],https://twitter.com/comma_ai/status/1507453836985655297,[],[],0,,112,1,7
313,1507452762212077568,broadwaychicago,1648239720000.0,2022-03-26 04:22:00,"Devon Goffman is playing Tommy DeVito in @JerseyBoysInfo, the founding member of The Four Seasons, &amp; is grateful to be back. His previous credits include On Your Feet!, Motown, Titanic, and Grease. See Devon at the Cadillac Palace Theatre for 1 week only starting May 3.  https://t.co/MqQsAB3oa9",en,[],[],https://twitter.com/broadwaychicago/status/1507452762212077568,[],['https://pbs.twimg.com/media/FLWHV3tXIAI5yfs.jpg'],1,https://pbs.twimg.com/media/FLWHV3tXIAI5yfs.jpg,0,0,0
315,1507438428543234056,PokerGO,1648236302000.0,2022-03-26 03:25:02,"Who's ready for more Cadillac of Poker action? Today at 4 p.m. ET (1 p.m. PT), the live final table of Event #9: $25,000 NL Hold'em airs on PokerGO.  New to PokerGO? Use code USPO22SM for $20 off a new annual subscription.   https://t.co/a4zoYAYxOr  https://t.co/C84TSZZbSD",en,[],[],https://twitter.com/PokerGO/status/1507438428543234056,['https://www.pokergo.com/schedule'],['https://pbs.twimg.com/media/FOt_QyVXIAkP8Bi.jpg'],1,https://pbs.twimg.com/media/FOt_QyVXIAkP8Bi.jpg,8,0,0
316,1507433930345099270,HansonOHaver,1648235230000.0,2022-03-26 03:07:10,"@NathanReese no rules here… pure chaos… a lot of sartorial ""deadhead sticker on a cadillac"" going on",en,[],[],https://twitter.com/HansonOHaver/status/1507433930345099270,[],[],0,,1,1,0
317,1507431835764150273,roadshow,1648234731000.0,2022-03-26 02:58:51,"Depending on customer demand, GM could build nearly 200,000 of the electric Cadillac Lyriq per year  https://t.co/su5wwjB9AZ",en,[],[],https://twitter.com/roadshow/status/1507431835764150273,['https://trib.al/pcXyU3C'],[],0,,8,1,2
318,1507429050536538115,Cadillac,1648234066000.0,2022-03-26 02:47:46,"@Todd_Ironwood Hello, Todd. We regret to hear of the troubles you are having with your vehicle, and would like to investigate this further. If interested, please send us a DM with your VIN, mileage, contact information and the name of the involved dealership.   https://t.co/OxK3w1Uq4H  https://t.co/URhQRrSexj",en,[],[],https://twitter.com/Cadillac/status/1507429050536538115,"['https://s.gm.com/ymn2vd', 'https://twitter.com/messages/compose?recipient_id=66408053']",[],0,,0,0,0
319,1507408278745231370,thesailorsgirl,1648229114000.0,2022-03-26 01:25:14,"Oil money increased the price of slaves...'it is a form of snobbery out there—like having a Cadillac. Whereas formerly an able-bodied man slave cost £50, he now costs £150. Whereas formerly an attractive girl cost £150, she now costs anything between £400 and £700.'",en,[],[],https://twitter.com/thesailorsgirl/status/1507408278745231370,[],[],0,,0,0,1
