,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
181,1509666893724016642,PUBGMOBILE,1648767610000.0,2022-04-01 07:00:10,"Speed ✔️ Style ✔️ Luxury ✔️  Take your squad for a ride in the ultra fast UAZ, Dacia, and Coupe RB now for a limited time!    🔗  https://t.co/7yVBd2u0x9  #PUBGMOBILE #Lamborghini #URUS #Estoque #AventadorSVJ  https://t.co/likWYMb5ci",en,"['pubgmobile', 'lamborghini', 'urus', 'estoque', 'aventadorsvj']",[],https://twitter.com/PUBGMOBILE/status/1509666893724016642,['https://pubgmobile.live/Lamborghini'],"['https://pbs.twimg.com/media/FPNqB3VWUAIC-G-.jpg', 'https://pbs.twimg.com/media/FPNqCJLWYAYvHo_.jpg', 'https://pbs.twimg.com/media/FPNqCX9WUAETcib.jpg']",1,https://pbs.twimg.com/media/FPNqB3VWUAIC-G-.jpg,209,21,15
182,1509664654968209415,CoinbaseSupport,1648767076000.0,2022-04-01 06:51:16,"@LAMBO_LO89 Hi @LAMBO_LO89, thanks for reaching out. To get started helping you, we need to know if you have already filed a support ticket for this account access issue. If you have, please provide your case number here. If you haven't yet, you can do so at  https://t.co/2YXIbyJ6jX  ^BB",en,[],[],https://twitter.com/CoinbaseSupport/status/1509664654968209415,['https://help.coinbase.com/en/contact-us/'],[],0,,0,1,0
183,1509661570703499269,Carsforsalecom,1648766341000.0,2022-04-01 06:39:01,The top-end V12 of the 1990s 💨    Loud and stunning to look at 🤩  Classic Lamborghini experience ✔️   Check our latest Retro Review on the Lamborghini Diablo! ⬇️   https://t.co/3JU2lp6tcQ  https://t.co/S7LmkNjWOg,en,[],[],https://twitter.com/Carsforsalecom/status/1509661570703499269,['https://bit.ly/3Lv2Ubk'],['https://pbs.twimg.com/media/FPNlMrTXsAENtMv.jpg'],1,https://pbs.twimg.com/media/FPNlMrTXsAENtMv.jpg,2,0,0
184,1509651375684263941,gabbariele,1648763910000.0,2022-04-01 05:58:30,"Read the #casestudy of #Danone in my new #book with #PhilipKotler, Denis Rothman and other gurus. We have defined the Essentials of Modern #Marketing with cases of #Lamborghini #Knauf #iliad #Bauli and many others.  https://t.co/UjfEezjpAt #bebrilliant #EOMM #purpose #books  https://t.co/NsckX36eHe",en,"['casestudy', 'danone', 'book', 'philipkotler', 'marketing', 'lamborghini', 'knauf', 'iliad', 'bauli', 'bebrilliant', 'eomm', 'purpose', 'books']",[],https://twitter.com/gabbariele/status/1509651375684263941,['https://eomm.bebrilliant.it/'],['https://pbs.twimg.com/media/FPNb7PLXIAgCgrv.jpg'],1,https://pbs.twimg.com/media/FPNb7PLXIAgCgrv.jpg,1,0,0
186,1509647725062549519,TmarTn,1648763040000.0,2022-04-01 05:44:00,the murcielago will always be my favorite lambo 😍  https://t.co/vJQ2uB2rKg,en,[],[],https://twitter.com/TmarTn/status/1509647725062549519,[],[],1,https://pbs.twimg.com/media/FPMbhFnXEAEW9cv.jpg,449,19,10
187,1509644203223093255,FOX5Vegas,1648762200000.0,2022-04-01 05:30:00,".@AviatorsLV have added another ""Bat Dog"" to the team this season! But this sweet girl, named Lambo, isn't a total rookie... Her big brother is *legendary* ""Bat Dog"" Finn! ❤️🐶⚾  https://t.co/595ho9TMON",en,[],[],https://twitter.com/FOX5Vegas/status/1509644203223093255,[],[],1,https://pbs.twimg.com/media/FPNS9lLVQA48YZ9.jpg,97,1,9
188,1509637810361446408,gabbariele,1648760676000.0,2022-04-01 05:04:36,"Read the #casestudy of #Lamborghini in my new #book with #PhilipKotler, Denis Rothman and other gurus. We have defined the Essentials of Modern #Marketing with cases of #Danone #Knauf #iliad #Bauli and many others.  https://t.co/UjfEezjpAt #bebrilliant #EOMM #purpose #books  https://t.co/3ma8MzDYmO",en,"['casestudy', 'lamborghini', 'book', 'philipkotler', 'marketing', 'danone', 'knauf', 'iliad', 'bauli', 'bebrilliant', 'eomm', 'purpose', 'books']",[],https://twitter.com/gabbariele/status/1509637810361446408,['https://eomm.bebrilliant.it/'],['https://pbs.twimg.com/media/FPNPln8XsAo07Mr.jpg'],1,https://pbs.twimg.com/media/FPNPln8XsAo07Mr.jpg,1,0,0
189,1509637779818483718,gabbariele,1648760669000.0,2022-04-01 05:04:29,"Read the #casestudy of #Lamborghini in my new #book with #PhilipKotler, Denis Rothman and other gurus. We have defined the Essentials of Modern #Marketing with cases of #Danone #Knauf #iliad #Bauli and many others.  https://t.co/UjfEezjpAt #bebrilliant #EOMM #purpose #books  https://t.co/xbsLitnTIM",en,"['casestudy', 'lamborghini', 'book', 'philipkotler', 'marketing', 'danone', 'knauf', 'iliad', 'bauli', 'bebrilliant', 'eomm', 'purpose', 'books']",[],https://twitter.com/gabbariele/status/1509637779818483718,['https://eomm.bebrilliant.it/'],['https://pbs.twimg.com/media/FPNPj3MWUAAJKwv.jpg'],1,https://pbs.twimg.com/media/FPNPj3MWUAAJKwv.jpg,0,0,0
190,1509622915796459523,gabbariele,1648757125000.0,2022-04-01 04:05:25,"""Essentials of Modern Marketing is a unique book with local case studies of brilliant companies building a better world through marketing"" Gabriele Carboni. Discover the book:  https://t.co/UjfEezjpAt with cases of #Danone #Lamborghini #marketing #iliad #Knauf #PhilipKotler #EOMM  https://t.co/kegq9tGzCj",en,"['danone', 'lamborghini', 'marketing', 'iliad', 'knauf', 'philipkotler', 'eomm']",[],https://twitter.com/gabbariele/status/1509622915796459523,['https://eomm.bebrilliant.it/'],['https://pbs.twimg.com/media/FPNCCrHXEAAHKgP.jpg'],1,https://pbs.twimg.com/media/FPNCCrHXEAAHKgP.jpg,0,0,0
193,1509613388267405314,HotNewHipHop,1648754853000.0,2022-04-01 03:27:33,Nicki and Fivio were spotted riding around in a pink Lambo.  https://t.co/j4rXUCEyK5,en,[],[],https://twitter.com/HotNewHipHop/status/1509613388267405314,['https://www.hotnewhiphop.com/nicki-minaj-and-fivio-foreign-take-new-york-for-we-go-up-video-shoot-news.149871.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1648754750'],[],0,,24,0,3
195,1509603383828787206,alanrzepa,1648752468000.0,2022-04-01 02:47:48,What is it with West Ham players and crashing Lambo’s ffs,en,[],[],https://twitter.com/alanrzepa/status/1509603383828787206,[],[],0,,141,8,2
196,1509598221500305413,Lovecars,1648751237000.0,2022-04-01 02:27:17,It opens the cofango (front clamshell) and also the engine bay. The key is 3D printed by Lamborghini,en,[],[],https://twitter.com/Lovecars/status/1509598221500305413,[],[],0,,3,0,1
