,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
312,1508677855689027586,volvocarsin,1648531805000.0,2022-03-29 13:30:05,The new Volvo S90 petrol with mild hybrid technology offers top of the class luxury features so you always ride in comfort.   Find out more :  https://t.co/6OQuE4tUAW  #VolvoIndia #S90  https://t.co/UFAu5aar52,en,"['volvoindia', 's90']",[],https://twitter.com/volvocarsin/status/1508677855689027586,['https://bit.ly/3uzPvHV'],['https://pbs.twimg.com/media/FO_mg0-XwAQFKfs.jpg'],1,https://pbs.twimg.com/media/FO_mg0-XwAQFKfs.jpg,4218,45,279
313,1508664791539535875,sidpatankar,1648528690000.0,2022-03-29 12:38:10,Drove the #Volvo #C40Recharge few days ago &amp; loved it. My exclusive review:  https://t.co/zV1Bv9zyVh. Relevant as it’s mechanically identical to the #XC40Recharge that’s launching in India! I hope it comes in this gorgeous fjord blue paint shade! SVP   #ev #electric #pushtoplugin  https://t.co/NOXFKNBQq9,en,"['volvo', 'c40recharge', 'xc40recharge', 'ev', 'electric', 'pushtoplugin']",[],https://twitter.com/sidpatankar/status/1508664791539535875,['https://youtu.be/wopJl6rqBKI'],['https://pbs.twimg.com/media/FO_an_8aIAIcXMF.jpg'],1,https://pbs.twimg.com/media/FO_an_8aIAIcXMF.jpg,39,6,5
318,1508595067547795460,adsoftheworld,1648512067000.0,2022-03-29 08:01:07,"Get to know more about the Volvo ad by Grey Brazil and Grey NY, Brazil: Every electric socket in the World  https://t.co/hviQ95fkB2  https://t.co/GRuLPJPrK3",en,[],[],https://twitter.com/adsoftheworld/status/1508595067547795460,['https://bit.ly/3tMMO6U'],['https://pbs.twimg.com/media/FO-bN-CXoA0ukON.jpg'],1,https://pbs.twimg.com/media/FO-bN-CXoA0ukON.jpg,1,0,0
320,1508575981434552327,CsgoHades,1648507516000.0,2022-03-29 06:45:16,Volvo updating new maps? - vertigo when  https://t.co/5EsFBEEPeE,en,[],[],https://twitter.com/CsgoHades/status/1508575981434552327,[],['https://pbs.twimg.com/media/FO-J2RwWQAAs0xe.png'],1,https://pbs.twimg.com/media/FO-J2RwWQAAs0xe.png,271,13,2
322,1508525014106218504,roadshow,1648495365000.0,2022-03-29 03:22:45,"In an exclusive interview, the former Volvo CEO looks back on his decade-long tenure with the Swedish automaker  https://t.co/e1rOCY0HeE",en,[],[],https://twitter.com/roadshow/status/1508525014106218504,['https://trib.al/2k1S2Sm'],[],0,,1,0,0
324,1508518078547640327,VolvoTrucksUK,1648493711000.0,2022-03-29 02:55:11,"The Volvo FH is a long haul icon that optimises your uptime and fuel efficiency, and offers an outstanding driver environment. The latest Volvo FH is, simply put, better in every way. ⭐⭐⭐⭐⭐ Discover more:  https://t.co/KR61nrN3PI  #volvofh #volvotrucks  https://t.co/2AJHyxBmcq",en,"['volvofh', 'volvotrucks']",[],https://twitter.com/VolvoTrucksUK/status/1508518078547640327,['https://bit.ly/38oYZIX'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1508518035191128064/pu/img/SK5toIaSUo06zq8Z.jpg,35,1,3
328,1508484307874066437,TheDrum,1648485659000.0,2022-03-29 00:40:59,🚘@volvocars takes us on a #VR journey through the plug socket to promote its new electric car #C40 🚘🔌  #EV #Volvo #Electric #Cars #Marketing #Advertising  https://t.co/FrAXYqRv6b,en,"['vr', 'c40', 'ev', 'volvo', 'electric', 'cars', 'marketing', 'advertising']",[],https://twitter.com/TheDrum/status/1508484307874066437,['https://www.thedrum.com/news/2022/03/28/volvo-takes-us-consumers-journey-through-electric-sockets-ev-car-launch'],[],0,,0,0,0
330,1508466442903171076,HTAutotweets,1648481400000.0,2022-03-28 23:30:00,Take a look at this 1966 Volvo P1800 model. It isn't just decades old and still is gleaming fine - but has also run over 48 lakh kilometres!   This particular @volvocars model finds a place in @GWR. Read on.   https://t.co/n0EzVAsFkJ,en,[],[],https://twitter.com/HTAutotweets/status/1508466442903171076,['https://auto.hindustantimes.com/auto/news/terminator-of-cars-this-1966-volvo-has-been-driven-over-48-lakh-kilometres-41648445504793.html'],[],0,,1,0,0
331,1508463638394417154,VolvoCarUSA,1648480731000.0,2022-03-28 23:18:51,"@Jenuhpie Hi Jenna, we've sent you a message. Please check your inbox!",en,[],[],https://twitter.com/VolvoCarUSA/status/1508463638394417154,[],[],0,,0,0,0
333,1508459023821160456,nlcpeople,1648479631000.0,2022-03-28 23:00:31,Rhys Dingwall is celebrating a double success. He’s secured a permanent job with Volvo following a No Limits work placement and been voted ‘Young Person of the Year’ at an awards ceremony. Find out how our job coaches help young people into work.  https://t.co/z5RfngE1vR  https://t.co/V9CX9tVl9U,en,[],[],https://twitter.com/nlcpeople/status/1508459023821160456,['http://ow.ly/jaNR50ItPa7'],['https://pbs.twimg.com/media/FO8ffMnXsAEVP_p.jpg'],1,https://pbs.twimg.com/media/FO8ffMnXsAEVP_p.jpg,10,0,1
